X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
1.04729999e-02, 4.97935992e-03, 6.78816985e-04, -2.70373871e+02, 4.33078480e+00
1.32629778e-02, 1.41814202e-02, 6.79568213e-04, -1.40084366e+02, 3.51504974e+01
1.60529558e-02, 2.33834796e-02, 6.80319441e-04, -9.91905823e+01, 3.43518333e+01
1.88429337e-02, 3.25855389e-02, 6.81070669e-04, -7.11320801e+01, 3.36449318e+01
2.16329116e-02, 4.17875983e-02, 6.81821897e-04, -5.84330673e+01, 3.33900032e+01
2.44228896e-02, 5.09896576e-02, 6.82573125e-04, -4.60357895e+01, 3.31015625e+01
2.72128675e-02, 6.01917170e-02, 6.83324353e-04, -3.83782959e+01, 3.28965416e+01
3.00028455e-02, 6.93937764e-02, 6.84075581e-04, -3.09641056e+01, 3.27104797e+01
3.27928215e-02, 7.85958394e-02, 6.84826809e-04, -2.62473984e+01, 3.25967026e+01
3.55827995e-02, 8.77979025e-02, 6.85578038e-04, -2.25187950e+01, 3.25040169e+01
