X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
6.06926009e-02, 4.63587977e-03, 6.76609983e-04, -1.08039803e+02, 5.88486671e+00
6.34825751e-02, 1.38761047e-02, 6.76313532e-04, -8.25178146e+01, 3.39444733e+01
6.62725493e-02, 2.31163297e-02, 6.76017080e-04, -6.23027954e+01, 3.34902382e+01
6.90625235e-02, 3.23565528e-02, 6.75720628e-04, -4.81100578e+01, 3.31187325e+01
7.18524978e-02, 4.15967777e-02, 6.75424177e-04, -3.70034103e+01, 3.28622055e+01
7.46424720e-02, 5.08370027e-02, 6.75127725e-04, -2.99280243e+01, 3.26999359e+01
7.74324462e-02, 6.00772277e-02, 6.74831273e-04, -2.40215321e+01, 3.25416603e+01
8.02224204e-02, 6.93174526e-02, 6.74534822e-04, -2.00912819e+01, 3.24358788e+01
8.30123946e-02, 7.85576776e-02, 6.74238370e-04, -1.67066898e+01, 3.23606300e+01
8.58023688e-02, 8.77979025e-02, 6.73941919e-04, -1.38035059e+01, 3.22940216e+01
