X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
8.58023986e-02, -1.99003005e-03, 6.78984972e-04, -3.71182861e+01, 3.78149772e+00
8.85923579e-02, -5.10972692e-03, 6.78260985e-04, -1.96174889e+01, 3.10393810e+01
9.13823172e-02, -8.22942331e-03, 6.77536998e-04, -6.30515099e+00, 3.19004803e+01
9.41722766e-02, -1.13491202e-02, 6.76813012e-04, -5.89184940e-01, 3.19195442e+01
9.69622359e-02, -1.44688170e-02, 6.76089025e-04, 3.08333158e+00, 3.18519382e+01
9.97521952e-02, -1.75885148e-02, 6.75365038e-04, 7.57264900e+00, 3.17874393e+01
1.02542154e-01, -2.07082108e-02, 6.74641051e-04, 9.07253361e+00, 3.17238388e+01
1.05332114e-01, -2.38279067e-02, 6.73917064e-04, 1.01495981e+01, 3.16625099e+01
1.08122073e-01, -2.69476026e-02, 6.73193077e-04, 1.21554708e+01, 3.16660957e+01
1.10912032e-01, -3.00672986e-02, 6.72469090e-04, 1.41162910e+01, 3.17799988e+01
