X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
1.04729999e-02, -4.90682013e-03, 6.80020021e-04, -3.20573425e+02, 2.33173490e+00
1.32629778e-02, -7.69121759e-03, 6.79319026e-04, -2.83297974e+02, 3.82166061e+01
1.60529558e-02, -1.04756150e-02, 6.78618031e-04, -2.67604950e+02, 3.81141167e+01
1.88429337e-02, -1.32600125e-02, 6.77917036e-04, -2.53676575e+02, 3.78440590e+01
2.16329116e-02, -1.60444099e-02, 6.77216041e-04, -2.45265930e+02, 3.76673927e+01
2.44228896e-02, -1.88288074e-02, 6.76515047e-04, -2.38745453e+02, 3.75314903e+01
2.72128675e-02, -2.16132049e-02, 6.75814052e-04, -2.36684967e+02, 3.75329475e+01
3.00028455e-02, -2.43976023e-02, 6.75113057e-04, -2.36451065e+02, 3.74400101e+01
3.27928215e-02, -2.71819998e-02, 6.74412062e-04, -2.34853317e+02, 3.47097855e+01
3.55827995e-02, -2.99663972e-02, 6.73711067e-04, -2.30379074e+02, 3.18153896e+01
