X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
6.06926009e-02, -4.63551981e-03, 6.76391996e-04, -1.90718613e+02, 6.26862144e+00
6.34825751e-02, -7.46127311e-03, 6.76240772e-04, -1.71134674e+02, 3.51714554e+01
6.62725493e-02, -1.02870259e-02, 6.76089549e-04, -1.51424713e+02, 3.54751472e+01
6.90625235e-02, -1.31127797e-02, 6.75938325e-04, -1.33301407e+02, 3.51562233e+01
7.18524978e-02, -1.59385335e-02, 6.75787101e-04, -1.16801971e+02, 3.47790413e+01
7.46424720e-02, -1.87642872e-02, 6.75635878e-04, -1.01354790e+02, 3.44086685e+01
7.74324462e-02, -2.15900410e-02, 6.75484654e-04, -8.67687378e+01, 3.40964737e+01
8.02224204e-02, -2.44157948e-02, 6.75333431e-04, -7.46590729e+01, 3.37767181e+01
8.30123946e-02, -2.72415485e-02, 6.75182207e-04, -6.32309875e+01, 3.27585030e+01
8.58023688e-02, -3.00673023e-02, 6.75030984e-04, -5.07976990e+01, 3.17800007e+01
