X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
3.55827995e-02, 5.94876986e-03, 6.75730989e-04, -1.95586792e+02, 4.89985555e-01
3.83727774e-02, 1.49982851e-02, 6.74711773e-04, -1.44460770e+02, 3.54572983e+01
4.11627553e-02, 2.40477994e-02, 6.73692557e-04, -1.10256699e+02, 3.46103516e+01
4.39527333e-02, 3.30973156e-02, 6.72673341e-04, -8.01630859e+01, 3.39092484e+01
4.67427112e-02, 4.21468318e-02, 6.71654125e-04, -6.05943222e+01, 3.34383392e+01
4.95326892e-02, 5.11963479e-02, 6.70634909e-04, -4.71382332e+01, 3.31468925e+01
5.23226671e-02, 6.02458641e-02, 6.69615692e-04, -3.72873764e+01, 3.28889771e+01
5.51126450e-02, 6.92953765e-02, 6.68596476e-04, -3.05945969e+01, 3.26954193e+01
5.79026230e-02, 7.83448890e-02, 6.67577260e-04, -2.47753677e+01, 3.25648727e+01
6.06926009e-02, 8.73944014e-02, 6.66558044e-04, -2.05647545e+01, 3.24626465e+01
